t,accessible_qubits,inaccessible_qubits,support_rank,old_operator_checks_theoretical,mutual_information_R_C_bits,trace_distance_rhoRC_product,petz_entanglement_fidelity,support_trace_preservation_error,elapsed_seconds,peak_rss_mib
0,4,10,16,256,12,0.999755859375,0.00024414062499997777,4.4531283733194114e-13,6.751869957894087,169.359375
1,5,9,32,1024,10,0.9990234375,0.0009765624999999973,3.3201415436617647e-13,2.271350209135562,265.90625
2,6,8,64,4096,8,0.99609375,0.0039062499999999774,2.3872470330525394e-13,0.9676479999907315,316.21875
3,7,7,128,16384,6,0.984375,0.015624999999999955,1.4396733412971762e-13,0.597263416973874,365.234375
4,8,6,256,65536,4,0.9375,0.06249999999999956,1.2277581589910977e-13,0.47843779087997973,400.375
5,9,5,512,262144,2,0.75,0.24999999999999847,1.8030301747470701e-13,0.48094812501221895,475.390625
6,10,4,256,65536,2,0.75,0.24999999999999914,8.746915333369701e-14,0.5222259999718517,569.859375
7,11,3,256,65536,1,0.5,0.4999999999999989,3.1432566010208237e-13,0.3555949579458684,595.921875
8,12,2,256,65536,0,0.0,0.9999999999999987,3.7456786715260556e-13,0.31134795886464417,632.953125
9,13,1,128,16384,0,0.0,0.9999999999999691,9.087522861335834e-13,0.3094734998885542,640.96875
10,14,0,64,4096,0,0.0,0.9999999999999565,1.78370831801976e-12,0.24918337492272258,673.0
