t,accessible_qubits,inaccessible_qubits,support_rank_stabilizer,old_operator_checks_theoretical,mutual_information_R_C_bits,trace_distance_rhoRC_product,petz_fidelity_from_pure_clifford_ranks,elapsed_seconds,peak_rss_mib
0,4,11,16,256,14,0.99993896484375,6.103515625e-05,0.02294829091988504,39.609375
1,5,10,32,1024,12,0.999755859375,0.000244140625,0.02532745897769928,39.65625
2,6,9,64,4096,10,0.9990234375,0.0009765625,0.03471912513487041,39.671875
3,7,8,128,16384,8,0.99609375,0.00390625,0.04789745807647705,39.6875
4,8,7,128,16384,7,0.9921875,0.0078125,0.067447290988639,39.8125
5,9,6,256,65536,5,0.96875,0.03125,0.09384062513709068,39.890625
6,10,5,512,262144,3,0.875,0.125,0.1592799578793347,39.953125
7,11,4,1024,1048576,1,0.5,0.5,0.17379495804198086,39.96875
8,12,3,1024,1048576,0,0.0,1.0,0.2306200829334557,40.078125
9,13,2,512,262144,0,0.0,1.0,0.2638547080568969,40.15625
10,14,1,256,65536,0,0.0,1.0,0.2854023340623826,40.1875
11,15,0,128,16384,0,0.0,1.0,0.3043033748399466,40.234375
