t,mutual_information_R_C_bits,trace_distance_rhoRC_product,petz_fidelity,support_rank,support_logical_qubits,elapsed_seconds
0,16,0.9999847412109375,1.52587890625e-05,16,4,0.022717083105817437
1,14,0.99993896484375,6.103515625e-05,32,5,0.02824037498794496
2,12,0.999755859375,0.000244140625,64,6,0.03715179185383022
3,10,0.9990234375,0.0009765625,128,7,0.050620167050510645
4,8,0.99609375,0.00390625,256,8,0.07042437512427568
5,6,0.984375,0.015625,512,9,0.09756983397528529
6,4,0.9375,0.0625,1024,10,0.13320858404040337
7,2,0.75,0.25,2048,11,0.18273220816627145
8,0,0.0,1.0,4096,12,0.24475508299656212
9,0,0.0,1.0,2048,11,0.3011079579591751
10,0,0.0,1.0,1024,10,0.36148666590452194
11,0,0.0,1.0,512,9,0.3984870419371873
12,0,0.0,1.0,256,8,0.4260320409666747
