A,t,mutual_information_R_C_bits,trace_distance_rhoRC_product,petz_fidelity,support_rank,support_logical_qubits,elapsed_seconds
9,0,18,0.9999961853027344,3.814697265625e-06,16,4,0.023719582939520478
9,1,16,0.9999847412109375,1.52587890625e-05,32,5,0.02847054204903543
9,2,14,0.99993896484375,6.103515625e-05,64,6,0.03732241690158844
9,3,12,0.999755859375,0.000244140625,128,7,0.05100374994799495
9,4,10,0.9990234375,0.0009765625,256,8,0.07069666706956923
9,5,8,0.99609375,0.00390625,512,9,0.09954862506128848
9,6,6,0.984375,0.015625,1024,10,0.13468774990178645
9,7,4,0.9375,0.0625,2048,11,0.1836406250949949
9,8,2,0.75,0.25,4096,12,0.24426216701976955
9,9,0,0.0,1.0,8192,13,0.32535445783287287
9,10,0,0.0,1.0,4096,12,0.4074415829963982
9,11,0,0.0,1.0,2048,11,0.4752222909592092
9,12,0,0.0,1.0,1024,10,0.5332443749066442
9,13,0,0.0,1.0,512,9,0.566453417064622
10,0,20,0.9999990463256836,9.5367431640625e-07,16,4,0.025866291020065546
10,1,18,0.9999961853027344,3.814697265625e-06,32,5,0.03159962501376867
10,2,16,0.9999847412109375,1.52587890625e-05,64,6,0.040104708168655634
10,3,14,0.99993896484375,6.103515625e-05,128,7,0.05352754215709865
10,4,12,0.999755859375,0.000244140625,256,8,0.07248554099351168
10,5,10,0.9990234375,0.0009765625,512,9,0.09925254178233445
10,6,8,0.99609375,0.00390625,1024,10,0.1361152920871973
10,7,6,0.984375,0.015625,2048,11,0.18366270908154547
10,8,4,0.9375,0.0625,4096,12,0.2510812911204994
10,9,2,0.75,0.25,8192,13,0.3278700830414891
10,10,1,0.5,0.5,8192,13,0.4400940830819309
10,11,1,0.5,0.5,4096,12,0.518592125037685
10,12,0,0.0,1.0,4096,12,0.6374928331933916
10,13,0,0.0,1.0,2048,11,0.6934846669901162
10,14,0,0.0,1.0,1024,10,0.7393123749643564
11,0,22,0.9999997615814209,2.384185791015625e-07,16,4,0.02665399992838502
11,1,20,0.9999990463256836,9.5367431640625e-07,32,5,0.03207916719838977
11,2,18,0.9999961853027344,3.814697265625e-06,64,6,0.040769875049591064
11,3,16,0.9999847412109375,1.52587890625e-05,128,7,0.05419679102487862
11,4,14,0.99993896484375,6.103515625e-05,256,8,0.07520187483169138
11,5,12,0.999755859375,0.000244140625,512,9,0.10251524997875094
11,6,10,0.9990234375,0.0009765625,1024,10,0.13854083395563066
11,7,8,0.99609375,0.00390625,2048,11,0.18988604098558426
11,8,6,0.984375,0.015625,4096,12,0.25039199995808303
11,9,5,0.96875,0.03125,4096,12,0.3281419591512531
11,10,3,0.875,0.125,8192,13,0.4396200419869274
11,11,1,0.5,0.5,16384,14,0.5652509171050042
11,12,0,0.0,1.0,16384,14,0.7352434159256518
11,13,0,0.0,1.0,8192,13,0.8033667078707367
11,14,0,0.0,1.0,4096,12,0.8943192500155419
11,15,0,0.0,1.0,2048,11,0.9095061658881605
12,0,24,0.9999999403953552,5.960464477539063e-08,16,4,0.02972033293917775
12,1,22,0.9999997615814209,2.384185791015625e-07,32,5,0.03503133403137326
12,2,20,0.9999990463256836,9.5367431640625e-07,64,6,0.04390183393843472
12,3,18,0.9999961853027344,3.814697265625e-06,128,7,0.057360999984666705
12,4,16,0.9999847412109375,1.52587890625e-05,256,8,0.07674399996176362
12,5,14,0.99993896484375,6.103515625e-05,512,9,0.10452587506733835
12,6,12,0.999755859375,0.000244140625,1024,10,0.1414099580142647
12,7,10,0.9990234375,0.0009765625,2048,11,0.1888562918175012
12,8,8,0.99609375,0.00390625,4096,12,0.2530534169636667
12,9,6,0.984375,0.015625,8192,13,0.33375966688618064
12,10,4,0.9375,0.0625,16384,14,0.4283232078887522
12,11,3,0.875,0.125,16384,14,0.6312222499400377
12,12,3,0.875,0.125,8192,13,0.7075662079732865
12,13,2,0.75,0.25,8192,13,0.8415121668949723
12,14,0,0.0,1.0,16384,14,1.0704312920570374
12,15,0,0.0,1.0,8192,13,1.165242083137855
12,16,0,0.0,1.0,4096,12,1.2584837500471622
