B_size,seed,scrambler_layers,emission_time,petz_entanglement_fidelity,noise_model,noise_depth,synthesis_method,claim,geometry,architecture_diameter,causal_line_lower_bound,logical_cnot_count,logical_two_qubit_depth,mean_logical_interaction_distance,routing_swap_count,routed_cnot_count,routed_two_qubit_depth,final_entanglement_fidelity,status
4,4000,3,1,0.9999999999999979,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,not_compiled,,,,,,,,,,Petz-only baseline; no circuit compiled
4,4000,3,2,0.9999999999999984,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,all_to_all_logical,1,0,36,27,1.4444444444444444,0,36,27,0.9999999999999947,validated
4,4000,3,2,0.9999999999999984,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,line_E0-E1-E2-E3-D0-D1,5,5,36,27,1.4444444444444444,18,90,72,0.9999999999999947,validated
4,4001,3,1,0.9999999999999978,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,not_compiled,,,,,,,,,,Petz-only baseline; no circuit compiled
4,4001,3,2,0.9999999999999986,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,all_to_all_logical,1,0,25,16,1.56,0,25,16,0.999999999999995,validated
4,4001,3,2,0.9999999999999986,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,line_E0-E1-E2-E3-D0-D1,5,5,25,16,1.56,16,73,61,0.999999999999995,validated
4,4002,3,1,0.999999999999998,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,not_compiled,,,,,,,,,,Petz-only baseline; no circuit compiled
4,4002,3,2,0.9999999999999977,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,all_to_all_logical,1,0,29,24,1.4482758620689655,0,29,24,0.9999999999999944,validated
4,4002,3,2,0.9999999999999977,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,line_E0-E1-E2-E3-D0-D1,5,5,29,24,1.4482758620689655,26,107,82,0.9999999999999944,validated
4,4003,3,1,0.9999999999999974,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,not_compiled,,,,,,,,,,Petz-only baseline; no circuit compiled
4,4003,3,2,0.9999999999999958,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,all_to_all_logical,1,0,28,24,1.2857142857142858,0,28,24,0.9999999999999962,validated
4,4003,3,2,0.9999999999999958,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,line_E0-E1-E2-E3-D0-D1,5,4,28,24,1.2857142857142858,12,64,45,0.9999999999999962,validated
4,4004,3,1,0.9999999999999982,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,not_compiled,,,,,,,,,,Petz-only baseline; no circuit compiled
4,4004,3,2,0.9999999999999989,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,all_to_all_logical,1,0,25,17,1.52,0,25,17,0.9999999999999956,validated
4,4004,3,2,0.9999999999999989,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,line_E0-E1-E2-E3-D0-D1,5,4,25,17,1.52,28,109,85,0.9999999999999956,validated
4,4005,3,1,0.9999999999999976,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,not_compiled,,,,,,,,,,Petz-only baseline; no circuit compiled
4,4005,3,2,0.999999999999998,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,all_to_all_logical,1,0,24,20,1.5416666666666667,0,24,20,0.999999999999995,validated
4,4005,3,2,0.999999999999998,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,line_E0-E1-E2-E3-D0-D1,5,5,24,20,1.5416666666666667,30,114,80,0.999999999999995,validated
4,4006,3,1,0.9999999999999979,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,not_compiled,,,,,,,,,,Petz-only baseline; no circuit compiled
4,4006,3,2,0.999999999999998,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,all_to_all_logical,1,0,33,25,1.4242424242424243,0,33,25,0.9999999999999956,validated
4,4006,3,2,0.999999999999998,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,line_E0-E1-E2-E3-D0-D1,5,5,33,25,1.4242424242424243,32,129,97,0.9999999999999956,validated
4,4007,3,1,0.9999999999999979,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,not_compiled,,,,,,,,,,Petz-only baseline; no circuit compiled
4,4007,3,2,0.9999999999999981,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,all_to_all_logical,1,0,35,25,1.457142857142857,0,35,25,0.9999999999999943,validated
4,4007,3,2,0.9999999999999981,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,line_E0-E1-E2-E3-D0-D1,5,5,35,25,1.457142857142857,28,119,100,0.9999999999999943,validated
4,4008,3,1,0.999999999999998,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,not_compiled,,,,,,,,,,Petz-only baseline; no circuit compiled
4,4008,3,2,0.999999999999997,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,all_to_all_logical,1,0,29,19,1.6206896551724137,0,29,19,0.9999999999999952,validated
4,4008,3,2,0.999999999999997,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,line_E0-E1-E2-E3-D0-D1,5,5,29,19,1.6206896551724137,38,143,97,0.9999999999999952,validated
4,4009,3,1,0.9999999999999984,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,not_compiled,,,,,,,,,,Petz-only baseline; no circuit compiled
4,4009,3,2,0.9999999999999976,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,all_to_all_logical,1,0,31,27,1.3548387096774193,0,31,27,0.9999999999999973,validated
4,4009,3,2,0.9999999999999976,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,line_E0-E1-E2-E3-D0-D1,5,5,31,27,1.3548387096774193,8,55,36,0.9999999999999973,validated
4,4010,3,1,0.9999999999999977,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,not_compiled,,,,,,,,,,Petz-only baseline; no circuit compiled
4,4010,3,2,0.9999999999999971,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,all_to_all_logical,1,0,25,16,1.4,0,25,16,0.9999999999999943,validated
4,4010,3,2,0.9999999999999971,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,line_E0-E1-E2-E3-D0-D1,5,4,25,16,1.4,16,73,48,0.9999999999999943,validated
4,4011,3,1,0.999999999999998,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,not_compiled,,,,,,,,,,Petz-only baseline; no circuit compiled
4,4011,3,2,0.9999999999999968,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,all_to_all_logical,1,0,29,21,1.5172413793103448,0,29,21,0.999999999999994,validated
4,4011,3,2,0.9999999999999968,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,line_E0-E1-E2-E3-D0-D1,5,5,29,21,1.5172413793103448,14,71,57,0.999999999999994,validated
4,4012,3,1,0.9999999999999982,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,not_compiled,,,,,,,,,,Petz-only baseline; no circuit compiled
4,4012,3,2,0.9999999999999984,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,all_to_all_logical,1,0,30,22,1.5,0,30,22,0.9999999999999962,validated
4,4012,3,2,0.9999999999999984,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,line_E0-E1-E2-E3-D0-D1,5,4,30,22,1.5,16,78,54,0.9999999999999962,validated
