A,t,accessible_sites,architecture,coupling_graph,routing_policy,graph_edges,graph_diameter,grid_rows,grid_columns,logical_depth,logical_cnot,routed_depth,routing_depth_overhead,depth_ratio,routed_cnot,swap,mean_initial_logical_cnot_distance,max_initial_logical_cnot_distance,petz_fidelity,routed_fidelity,signed_clifford_equivalent,final_order_restored,routing_seconds,validated
9,9,13,chain_historical,chain,historical_line_router,12,12,,,85,114,598,513,7.035294117647059,1092,326,4.219298245614035,12,1.0,1.0,True,True,0.0008124581072479486,True
9,9,13,chain,chain,common_shortest_path_inverse_replay,12,12,,,85,114,1078,993,12.68235294117647,1806,564,4.219298245614035,12,1.0,1.0,True,True,0.0012409589253365993,True
9,9,13,ring,ring,common_shortest_path_inverse_replay,13,6,,,85,114,759,674,8.929411764705883,1296,394,3.1842105263157894,6,1.0,1.0,True,True,0.0018712501041591167,True
9,9,13,grid_2d,grid_2d,common_shortest_path_inverse_replay,18,6,4,4,85,114,590,505,6.9411764705882355,846,244,2.324561403508772,6,1.0,1.0,True,True,0.0006731671746820211,True
9,9,13,all_to_all,all_to_all,common_shortest_path_inverse_replay,78,1,,,85,114,85,0,1.0,114,0,1.0,1,1.0,1.0,True,True,0.00027133291587233543,True
10,12,16,chain_historical,chain,historical_line_router,15,15,,,126,171,959,833,7.611111111111111,1833,554,3.52046783625731,11,1.0,1.0,True,True,0.0010960418730974197,True
10,12,16,chain,chain,common_shortest_path_inverse_replay,15,15,,,126,171,1614,1488,12.80952380952381,3021,950,3.52046783625731,11,1.0,1.0,True,True,0.0019384578336030245,True
10,12,16,ring,ring,common_shortest_path_inverse_replay,16,8,,,126,171,1523,1397,12.087301587301587,2517,782,3.309941520467836,8,1.0,1.0,True,True,0.001715000020340085,True
10,12,16,grid_2d,grid_2d,common_shortest_path_inverse_replay,24,6,4,4,126,171,784,658,6.222222222222222,1227,352,2.087719298245614,5,1.0,1.0,True,True,0.0010326248593628407,True
10,12,16,all_to_all,all_to_all,common_shortest_path_inverse_replay,120,1,,,126,171,126,0,1.0,171,0,1.0,1,1.0,1.0,True,True,0.00039275013841688633,True
11,12,16,chain_historical,chain,historical_line_router,15,15,,,129,190,879,750,6.813953488372093,1642,484,3.636842105263158,13,1.0,1.0,True,True,0.0010786668863147497,True
11,12,16,chain,chain,common_shortest_path_inverse_replay,15,15,,,129,190,1548,1419,12.0,2914,908,3.636842105263158,13,1.0,1.0,True,True,0.0019198341760784388,True
11,12,16,ring,ring,common_shortest_path_inverse_replay,16,8,,,129,190,1313,1184,10.178294573643411,2338,716,3.205263157894737,8,1.0,1.0,True,True,0.0016328329220414162,True
11,12,16,grid_2d,grid_2d,common_shortest_path_inverse_replay,24,6,4,4,129,190,848,719,6.573643410852713,1342,384,2.3473684210526318,6,1.0,1.0,True,True,0.0011043751146644354,True
11,12,16,all_to_all,all_to_all,common_shortest_path_inverse_replay,120,1,,,129,190,129,0,1.0,190,0,1.0,1,1.0,1.0,True,True,0.00042245793156325817,True
12,14,18,chain_historical,chain,historical_line_router,17,17,,,154,229,1209,1055,7.85064935064935,2107,626,3.6724890829694323,12,1.0,1.0,True,True,0.0012893339153379202,True
12,14,18,chain,chain,common_shortest_path_inverse_replay,17,17,,,154,229,2169,2015,14.084415584415584,3607,1126,3.6724890829694323,12,1.0,1.0,True,True,0.0024598329328000546,True
12,14,18,ring,ring,common_shortest_path_inverse_replay,18,9,,,154,229,1886,1732,12.246753246753247,3463,1078,3.4541484716157207,9,1.0,1.0,True,True,0.0022839591838419437,True
12,14,18,grid_2d,grid_2d,common_shortest_path_inverse_replay,27,7,4,5,154,229,1192,1038,7.740259740259741,1849,540,2.458515283842795,6,1.0,1.0,True,True,0.001649749930948019,True
12,14,18,all_to_all,all_to_all,common_shortest_path_inverse_replay,153,1,,,154,229,154,0,1.0,229,0,1.0,1,1.0,1.0,True,True,0.000520333182066679,True
