message_qubits,emission_time,accessible_width,affine_systems_solved,rank_reductions,pivots,row_xors,scalar_bit_xors,verify_seconds
1,5,9,778,3940,27586,37609,729136,0.2413820419460535
2,6,10,1078,5974,47624,92384,2088018,0.41929012490436435
3,7,11,1434,8628,77650,122648,3105905,0.5914368750527501
4,8,12,1846,12158,120901,294258,8590100,0.9068864579312503
5,9,13,2314,16350,179908,528254,17136656,1.334627125179395
6,10,14,2838,21224,257500,710737,25556384,1.7194050829857588
7,11,15,3418,27598,361916,1254108,49968685,2.5104469580110162
8,12,16,4054,34674,491041,2052234,89595905,3.4527704170905054
9,13,17,4746,42792,652777,2718251,126409607,4.621456667082384
10,14,18,5494,52636,855563,3457659,174642652,6.231689208885655
11,15,19,6298,64450,1110918,5077447,279180994,7.916583125013858
12,16,20,7158,76088,1395824,7188172,417333398,10.430368583882228
