message_qubits,emission_time,accessible_width,scramble_depth,logical_qubits,support_rank,tau_generator_count,mean_generator_weight,max_generator_weight,mean_generator_density,affine_systems_solved,row_xors,scalar_bit_xors,rank_reductions,pivots,verify_seconds
1,5,9,6,1,2,8,4.25,6,0.4722222222222222,778,37609,729136,3940,27586,0.22753533301874995
2,6,10,6,2,4,8,4.875,7,0.4875,1078,92384,2088018,5974,47624,0.39798345789313316
3,7,11,6,3,8,8,6.0,8,0.5454545454545454,1434,122648,3105905,8628,77650,0.5529853340703994
4,8,12,6,4,16,8,6.5,9,0.5416666666666666,1846,294258,8590100,12158,120901,0.8596531248185784
5,9,13,6,5,32,8,7.125,10,0.5480769230769231,2314,528254,17136656,16350,179908,1.362204167060554
6,10,14,6,6,64,8,5.75,7,0.4107142857142857,2838,710737,25556384,21224,257500,1.751366165932268
7,11,15,6,7,128,8,7.5,10,0.5,3418,1254108,49968685,27598,361916,2.4170440000016242
8,12,16,6,8,256,8,9.25,11,0.578125,4054,2052234,89595905,34674,491041,3.363006834173575
9,13,17,6,9,512,8,8.75,12,0.5147058823529411,4746,2718251,126409607,42792,652777,4.489102166844532
10,14,18,6,10,1024,8,7.5,12,0.4166666666666667,5494,3457659,174642652,52636,855563,5.9565095831640065
11,15,19,6,11,2048,8,9.375,11,0.4934210526315789,6298,5077447,279180994,64450,1110918,7.666162540903315
12,16,20,6,12,4096,8,10.625,14,0.53125,7158,7188172,417333398,76088,1395824,9.796521415933967
13,17,21,6,13,8192,8,8.75,12,0.4166666666666667,8074,9417412,586058315,89920,1742499,12.56915658316575
14,18,22,6,14,16384,8,9.875,15,0.44886363636363635,9046,11629910,764814295,106284,2165856,15.397294374881312
15,19,23,6,15,32768,8,9.375,12,0.4076086956521739,10074,13938772,958374414,122786,2635203,18.471070249797776
16,20,24,6,16,65536,8,9.625,12,0.4010416666666667,11158,18265262,1338292624,141782,3189408,23.06902595795691
17,21,25,6,17,131072,8,9.125,15,0.365,12298,20007694,1556262966,162926,3830776,27.58624116680585
18,22,26,6,18,262144,8,10.5,17,0.40384615384615385,13494,29690806,2388809551,185620,4559369,34.95836804108694
19,23,27,6,19,524288,8,12.75,16,0.4722222222222222,14746,38074604,3183635258,210560,5390207,42.253684791969135
20,24,28,6,20,1048576,8,11.75,22,0.41964285714285715,16054,45403872,3987275769,238066,6344232,49.99270437518135
21,25,29,6,21,2097152,8,9.875,19,0.34051724137931033,17418,47961268,4364862224,266994,7389617,58.26489937514998
22,26,30,6,22,4194304,8,13.5,21,0.45,18838,63563946,6062785778,298728,8572927,70.01528512500226
