message_qubits,emission_time,accessible_width,affine_systems_solved,row_xors,scalar_bit_xors,rank_reductions,pivots,verify_seconds
23,27,31,20314,64396943,6460632069,332762,9896717,82.83473733300343
24,28,32,21846,86052990,8894562292,369524,11366472,104.50138829112984
25,29,33,23434,91660421,9841453252,412146,13096325,117.99116904078983
26,30,34,25078,107234076,12047453079,451006,14791058,133.01328654098324
27,31,35,26778,116071718,13560381734,495144,16764067,146.56554783298634
28,32,36,28534,144282989,16836425375,542968,18953746,168.62046120781451
29,33,37,30346,153168194,18987860263,600390,21564705,198.93067195801996
30,34,38,32214,174644708,22359480983,650480,24016207,222.48421029211022
31,35,39,34138,236086587,30518575284,702964,26694390,261.4694990827702
32,36,40,36118,232861228,31523479676,762440,29747058,272.22656683414243
