message_qubits,emission_time,accessible_width,affine_systems_solved,rank_reductions,pivots,row_xors,scalar_bit_xors,verify_seconds
1,5,9,778,3940,27586,37609,729136,0.2413820419460535
2,6,10,1078,5974,47624,92384,2088018,0.41929012490436435
3,7,11,1434,8628,77650,122648,3105905,0.5914368750527501
4,8,12,1846,12158,120901,294258,8590100,0.9068864579312503
5,9,13,2314,16350,179908,528254,17136656,1.334627125179395
6,10,14,2838,21224,257500,710737,25556384,1.7194050829857588
7,11,15,3418,27598,361916,1254108,49968685,2.5104469580110162
8,12,16,4054,34674,491041,2052234,89595905,3.4527704170905054
9,13,17,4746,42792,652777,2718251,126409607,4.621456667082384
10,14,18,5494,52636,855563,3457659,174642652,6.231689208885655
11,15,19,6298,64450,1110918,5077447,279180994,7.916583125013858
12,16,20,7158,76088,1395824,7188172,417333398,10.430368583882228
13,17,21,8074,89920,1742499,9417412,586058315,13.099127791123465
14,18,22,9046,106284,2165856,11629910,764814295,15.850522082997486
15,19,23,10074,122786,2635203,13938772,958374414,19.868767000036314
16,20,24,11158,141782,3189408,18265262,1338292624,24.44399791606702
17,21,25,12298,162926,3830776,20007694,1556262966,28.852765625109896
18,22,26,13494,185620,4559369,29690806,2388809551,36.54994795797393
19,23,27,14746,210560,5390207,38074604,3183635258,44.04756816592999
20,24,28,16054,238066,6344232,45403872,3987275769,53.6134002499748
21,25,29,17418,266994,7389617,47961268,4364862224,60.26686120801605
22,26,30,18838,298728,8572927,63563946,6062785778,72.60905066598207
23,27,31,20314,332762,9896717,64396943,6460632069,82.83473733300343
24,28,32,21846,369524,11366472,86052990,8894562292,104.50138829112984
25,29,33,23434,412146,13096325,91660421,9841453252,117.99116904078983
26,30,34,25078,451006,14791058,107234076,12047453079,133.01328654098324
27,31,35,26778,495144,16764067,116071718,13560381734,146.56554783298634
28,32,36,28534,542968,18953746,144282989,16836425375,168.62046120781451
29,33,37,30346,600390,21564705,153168194,18987860263,198.93067195801996
30,34,38,32214,650480,24016207,174644708,22359480983,222.48421029211022
31,35,39,34138,702964,26694390,236086587,30518575284,261.4694990827702
32,36,40,36118,762440,29747058,232861228,31523479676,272.22656683414243
