message_qubits,emission_time,accessible_width,scramble_depth,logical_qubits,support_rank,tau_generator_count,mean_generator_weight,max_generator_weight,mean_generator_density,affine_systems_solved,row_xors,scalar_bit_xors,rank_reductions,pivots,verify_seconds
1,5,9,3,1,2,8,3.375,5,0.375,778,21850,420580,3950,27541,0.204049332998693
2,6,10,3,2,4,8,5.125,6,0.5125,1078,82863,1870202,5986,47670,0.351205833023414
3,7,11,3,3,8,8,3.625,5,0.32954545454545453,1434,114617,2966653,8674,78037,0.5429637089837343
4,8,12,3,4,16,8,4.0,6,0.3333333333333333,1846,174927,5138109,12440,122467,0.7757139171008021
5,9,13,3,5,32,8,4.125,6,0.3173076923076923,2314,185263,5859603,16544,181359,1.094168750103563
6,10,14,3,6,64,8,3.625,5,0.25892857142857145,2838,305125,11154587,22044,262997,1.5715878340415657
7,11,15,3,7,128,8,4.0,7,0.26666666666666666,3418,625454,24752137,27574,361237,2.2062603330705315
8,12,16,3,8,256,8,5.25,9,0.328125,4054,1185068,52014674,35490,498800,3.2632392910309136
9,13,17,3,9,512,8,4.125,8,0.2426470588235294,4746,994492,47724418,44402,667653,4.267200541915372
10,14,18,3,10,1024,8,4.375,7,0.24305555555555555,5494,1383948,68733619,53868,871138,4.935795750003308
11,15,19,3,11,2048,8,4.375,7,0.23026315789473684,6298,2040260,112544609,65218,1121958,6.430587166920304
12,16,20,3,12,4096,8,5.125,8,0.25625,7158,2479434,146909684,78656,1429211,8.207967458060011
13,17,21,3,13,8192,8,4.25,6,0.20238095238095238,8074,3303224,204385021,90562,1752986,10.25459758285433
14,18,22,3,14,16384,8,4.5,7,0.20454545454545456,9046,4335323,288034070,106930,2175311,13.048896542051807
15,19,23,3,15,32768,8,4.125,5,0.1793478260869565,10074,4701638,331305587,123204,2641573,15.5810039578937
16,20,24,3,16,65536,8,5.375,7,0.22395833333333334,11158,6793115,505612834,145740,3252447,19.930117416894063
17,21,25,3,17,131072,8,4.0,7,0.16,12298,5378112,430830698,166124,3893231,22.57928445818834
18,22,26,3,18,262144,8,3.875,7,0.14903846153846154,13494,6268567,524678932,190552,4658811,27.130040291929618
19,23,27,3,19,524288,8,4.75,6,0.17592592592592593,14746,10658544,910895213,211562,5406413,33.76234320807271
20,24,28,3,20,1048576,8,4.625,8,0.16517857142857142,16054,11499505,1029138265,243578,6480422,39.749078209046274
21,25,29,3,21,2097152,8,4.875,9,0.16810344827586207,17418,11730138,1095914643,273274,7530401,46.49768158304505
22,26,30,3,22,4194304,8,5.5,7,0.18333333333333332,18838,14846235,1439217514,305922,8743376,55.5486880838871
