position,method,symbol_sent,symbol_sent_display,symbol_code,symbol_decoded,symbol_decoded_display,correct,symbol_state_fidelity,largest_readout_probability,entanglement_fidelity_single_use,entanglement_fidelity_character,choi_fidelity_single_use,choi_fidelity_character,operator_error_single_use,operator_error_character,logical_depth_per_character,routed_depth_per_character,logical_cnot_per_character,routed_cnot_per_character,swap_per_character
1,Petz abstrait,O,O,0000,O,O,True,0.9999999999999831,0.9999999999999831,0.9999999999999957,0.9999999999999827,1.0,1.0,0.0,0.0,,,,,
2,Petz abstrait,R,R,0001,R,R,True,0.9999999999999838,0.9999999999999838,0.9999999999999957,0.9999999999999827,1.0,1.0,0.0,0.0,,,,,
3,Petz abstrait,E,E,0010,E,E,True,0.9999999999999838,0.9999999999999838,0.9999999999999957,0.9999999999999827,1.0,1.0,0.0,0.0,,,,,
4,Petz abstrait,L,L,0011,L,L,True,0.9999999999999845,0.9999999999999845,0.9999999999999957,0.9999999999999827,1.0,1.0,0.0,0.0,,,,,
5,Petz abstrait,I,I,0100,I,I,True,0.9999999999999838,0.9999999999999838,0.9999999999999957,0.9999999999999827,1.0,1.0,0.0,0.0,,,,,
6,Petz abstrait,A,A,0101,A,A,True,0.9999999999999845,0.9999999999999845,0.9999999999999957,0.9999999999999827,1.0,1.0,0.0,0.0,,,,,
7,Petz abstrait, ,ESPACE,0110, ,ESPACE,True,0.9999999999999845,0.9999999999999845,0.9999999999999957,0.9999999999999827,1.0,1.0,0.0,0.0,,,,,
8,Petz abstrait,E,E,0010,E,E,True,0.9999999999999838,0.9999999999999838,0.9999999999999957,0.9999999999999827,1.0,1.0,0.0,0.0,,,,,
9,Petz abstrait,S,S,0111,S,S,True,0.9999999999999851,0.9999999999999851,0.9999999999999957,0.9999999999999827,1.0,1.0,0.0,0.0,,,,,
10,Petz abstrait,T,T,1000,T,T,True,0.9999999999999838,0.9999999999999838,0.9999999999999957,0.9999999999999827,1.0,1.0,0.0,0.0,,,,,
11,Petz abstrait, ,ESPACE,0110, ,ESPACE,True,0.9999999999999845,0.9999999999999845,0.9999999999999957,0.9999999999999827,1.0,1.0,0.0,0.0,,,,,
12,Petz abstrait,V,V,1001,V,V,True,0.9999999999999845,0.9999999999999845,0.9999999999999957,0.9999999999999827,1.0,1.0,0.0,0.0,,,,,
13,Petz abstrait,I,I,0100,I,I,True,0.9999999999999838,0.9999999999999838,0.9999999999999957,0.9999999999999827,1.0,1.0,0.0,0.0,,,,,
14,Petz abstrait,V,V,1001,V,V,True,0.9999999999999845,0.9999999999999845,0.9999999999999957,0.9999999999999827,1.0,1.0,0.0,0.0,,,,,
15,Petz abstrait,A,A,0101,A,A,True,0.9999999999999845,0.9999999999999845,0.9999999999999957,0.9999999999999827,1.0,1.0,0.0,0.0,,,,,
16,Petz abstrait,N,N,1010,N,N,True,0.9999999999999845,0.9999999999999845,0.9999999999999957,0.9999999999999827,1.0,1.0,0.0,0.0,,,,,
17,Petz abstrait,T,T,1000,T,T,True,0.9999999999999838,0.9999999999999838,0.9999999999999957,0.9999999999999827,1.0,1.0,0.0,0.0,,,,,
18,Petz abstrait,E,E,0010,E,E,True,0.9999999999999838,0.9999999999999838,0.9999999999999957,0.9999999999999827,1.0,1.0,0.0,0.0,,,,,
1,Clifford direct,O,O,0000,O,O,True,0.9999999999999725,0.9999999999999725,0.9999999999999928,0.9999999999999711,0.9999999999999938,0.9999999999999751,1.980209576835881e-15,1.598738964129565e-14,12,,56,,0
2,Clifford direct,R,R,0001,R,R,True,0.9999999999999718,0.9999999999999718,0.9999999999999928,0.9999999999999711,0.9999999999999938,0.9999999999999751,1.980209576835881e-15,1.598738964129565e-14,12,,56,,0
3,Clifford direct,E,E,0010,E,E,True,0.9999999999999718,0.9999999999999718,0.9999999999999928,0.9999999999999711,0.9999999999999938,0.9999999999999751,1.980209576835881e-15,1.598738964129565e-14,12,,56,,0
4,Clifford direct,L,L,0011,L,L,True,0.9999999999999711,0.9999999999999711,0.9999999999999928,0.9999999999999711,0.9999999999999938,0.9999999999999751,1.980209576835881e-15,1.598738964129565e-14,12,,56,,0
5,Clifford direct,I,I,0100,I,I,True,0.9999999999999718,0.9999999999999718,0.9999999999999928,0.9999999999999711,0.9999999999999938,0.9999999999999751,1.980209576835881e-15,1.598738964129565e-14,12,,56,,0
6,Clifford direct,A,A,0101,A,A,True,0.9999999999999711,0.9999999999999711,0.9999999999999928,0.9999999999999711,0.9999999999999938,0.9999999999999751,1.980209576835881e-15,1.598738964129565e-14,12,,56,,0
7,Clifford direct, ,ESPACE,0110, ,ESPACE,True,0.9999999999999711,0.9999999999999711,0.9999999999999928,0.9999999999999711,0.9999999999999938,0.9999999999999751,1.980209576835881e-15,1.598738964129565e-14,12,,56,,0
8,Clifford direct,E,E,0010,E,E,True,0.9999999999999718,0.9999999999999718,0.9999999999999928,0.9999999999999711,0.9999999999999938,0.9999999999999751,1.980209576835881e-15,1.598738964129565e-14,12,,56,,0
