method,kind,input,decoded_symbol,state_fidelity,largest_readout_probability,relative_phase_target,relative_phase_output
Petz abstract,basis_symbol,O,O,0.999999999999988,0.999999999999988,,
Petz abstract,basis_symbol,R,R,0.9999999999999878,0.9999999999999878,,
Petz abstract,basis_symbol,E,E,0.999999999999988,0.999999999999988,,
Petz abstract,basis_symbol,L,L,0.9999999999999878,0.9999999999999878,,
Petz abstract,basis_symbol,I,I,0.999999999999988,0.999999999999988,,
Petz abstract,basis_symbol,A,A,0.9999999999999878,0.9999999999999878,,
Petz abstract,superposition,(O+R)/sqrt(2),O,0.9999999999999876,0.49999999999999384,0,4.6152131842169674e-17
Petz abstract,superposition,(E+iL)/sqrt(2),E,0.9999999999999876,0.4999999999999939,-pi/2,-1.5707963267948966
Petz abstract,superposition,uniform_6_symbols,O,0.9999999999999888,0.16666666666666471,,
Clifford direct,basis_symbol,O,O,0.9999999999999796,0.9999999999999796,,
Clifford direct,basis_symbol,R,R,0.9999999999999796,0.9999999999999796,,
Clifford direct,basis_symbol,E,E,0.9999999999999796,0.9999999999999796,,
Clifford direct,basis_symbol,L,L,0.9999999999999796,0.9999999999999796,,
Clifford direct,basis_symbol,I,I,0.9999999999999796,0.9999999999999796,,
Clifford direct,basis_symbol,A,A,0.9999999999999796,0.9999999999999796,,
Clifford direct,superposition,(O+R)/sqrt(2),O,0.9999999999999791,0.4999999999999897,0,-1.0691058840369003e-50
Clifford direct,superposition,(E+iL)/sqrt(2),E,0.9999999999999791,0.4999999999999897,-pi/2,-1.5707963267948966
Clifford direct,superposition,uniform_6_symbols,O,0.9999999999999802,0.16666666666666333,,
Clifford routed chain,basis_symbol,O,O,0.9999999999999796,0.9999999999999796,,
Clifford routed chain,basis_symbol,R,R,0.9999999999999796,0.9999999999999796,,
Clifford routed chain,basis_symbol,E,E,0.9999999999999796,0.9999999999999796,,
Clifford routed chain,basis_symbol,L,L,0.9999999999999796,0.9999999999999796,,
Clifford routed chain,basis_symbol,I,I,0.9999999999999796,0.9999999999999796,,
Clifford routed chain,basis_symbol,A,A,0.9999999999999796,0.9999999999999796,,
Clifford routed chain,superposition,(O+R)/sqrt(2),O,0.9999999999999791,0.4999999999999897,0,-1.0691058840369003e-50
Clifford routed chain,superposition,(E+iL)/sqrt(2),E,0.9999999999999791,0.4999999999999897,-pi/2,-1.5707963267948966
Clifford routed chain,superposition,uniform_6_symbols,O,0.9999999999999802,0.16666666666666333,,
