logical_pauli,input_label,choi_reference_operator,output_label_Aprime_E,pair_symplectic,input_gram_row,output_gram_row
X1,+X____,+X____,+_X___,1,0100000000,0100000000
Z1,+Z____,+Z____,+_Z___,,1000000000,1000000000
X2,+_X___,+_X___,+__X__,1,0001000000,0001000000
Z2,+_Z___,+_Z___,+__Z__,,0010000000,0010000000
X3,+__X__,+__X__,+___X_,1,0000010000,0000010000
Z3,+__Z__,+__Z__,+___Z_,,0000100000,0000100000
X4,+___X_,+___X_,+____X,1,0000000100,0000000100
Z4,+___Z_,+___Z_,+____Z,,0000001000,0000001000
X5,+____X,+____X,+X____,1,0000000001,0000000001
Z5,+____Z,+____Z,+Z____,,0000000010,0000000010
