A,t,architecture,strategy,interaction_index,gate_index,distance_before,movement_swaps,control_moves,target_moves
12,14,chain,historical_target_move,0,,2,1,0,1
12,14,chain,historical_target_move,1,,1,0,0,0
12,14,chain,historical_target_move,2,,1,0,0,0
12,14,chain,historical_target_move,3,,3,2,0,2
12,14,chain,historical_target_move,4,,1,0,0,0
12,14,chain,historical_target_move,5,,1,0,0,0
12,14,chain,historical_target_move,6,,1,0,0,0
12,14,chain,historical_target_move,7,,1,0,0,0
12,14,chain,historical_target_move,8,,2,1,0,1
12,14,chain,historical_target_move,9,,2,1,0,1
12,14,chain,historical_target_move,10,,1,0,0,0
12,14,chain,historical_target_move,11,,2,1,0,1
12,14,chain,historical_target_move,12,,5,4,0,4
12,14,chain,historical_target_move,13,,2,1,0,1
12,14,chain,historical_target_move,14,,4,3,0,3
12,14,chain,historical_target_move,15,,1,0,0,0
12,14,chain,historical_target_move,16,,1,0,0,0
12,14,chain,historical_target_move,17,,1,0,0,0
12,14,chain,historical_target_move,18,,4,3,0,3
12,14,chain,historical_target_move,19,,1,0,0,0
12,14,chain,historical_target_move,20,,4,3,0,3
12,14,chain,historical_target_move,21,,1,0,0,0
12,14,chain,historical_target_move,22,,1,0,0,0
12,14,chain,historical_target_move,23,,6,5,0,5
12,14,chain,historical_target_move,24,,2,1,0,1
12,14,chain,historical_target_move,25,,4,3,0,3
12,14,chain,historical_target_move,26,,1,0,0,0
12,14,chain,historical_target_move,27,,1,0,0,0
12,14,chain,historical_target_move,28,,3,2,0,2
12,14,chain,historical_target_move,29,,4,3,0,3
12,14,chain,historical_target_move,30,,4,3,0,3
12,14,chain,historical_target_move,31,,3,2,0,2
12,14,chain,historical_target_move,32,,9,8,0,8
12,14,chain,historical_target_move,33,,1,0,0,0
12,14,chain,historical_target_move,34,,1,0,0,0
12,14,chain,historical_target_move,35,,7,6,0,6
12,14,chain,historical_target_move,36,,2,1,0,1
12,14,chain,historical_target_move,37,,8,7,0,7
12,14,chain,historical_target_move,38,,9,8,0,8
12,14,chain,historical_target_move,39,,6,5,0,5
12,14,chain,historical_target_move,40,,4,3,0,3
12,14,chain,historical_target_move,41,,5,4,0,4
12,14,chain,historical_target_move,42,,1,0,0,0
12,14,chain,historical_target_move,43,,1,0,0,0
12,14,chain,historical_target_move,44,,9,8,0,8
12,14,chain,historical_target_move,45,,4,3,0,3
12,14,chain,historical_target_move,46,,1,0,0,0
12,14,chain,historical_target_move,47,,1,0,0,0
12,14,chain,historical_target_move,48,,1,0,0,0
12,14,chain,historical_target_move,49,,3,2,0,2
12,14,chain,historical_target_move,50,,8,7,0,7
12,14,chain,historical_target_move,51,,8,7,0,7
12,14,chain,historical_target_move,52,,10,9,0,9
12,14,chain,historical_target_move,53,,1,0,0,0
12,14,chain,historical_target_move,54,,1,0,0,0
12,14,chain,historical_target_move,55,,9,8,0,8
12,14,chain,historical_target_move,56,,1,0,0,0
12,14,chain,historical_target_move,57,,2,1,0,1
12,14,chain,historical_target_move,58,,9,8,0,8
12,14,chain,historical_target_move,59,,2,1,0,1
12,14,chain,historical_target_move,60,,1,0,0,0
12,14,chain,historical_target_move,61,,1,0,0,0
12,14,chain,historical_target_move,62,,1,0,0,0
12,14,chain,historical_target_move,63,,2,1,0,1
12,14,chain,historical_target_move,64,,2,1,0,1
