A,t,accessible_sites,architecture,strategy,lookahead,candidate_budget,graph_diameter,logical_depth,logical_cnot,causal_lightcone_depth_bound,logical_depth_baseline,routed_depth,depth_overhead,depth_ratio,routed_cnot,swap_total,swap_movement,swap_restoration,restoration_swap_lower_bound,compiled_qubit_congestion_bound,compiled_edge_congestion_bound,static_shortest_path_length_proxy,static_edge_congestion_proxy,mean_initial_cnot_distance,max_initial_cnot_distance,petz_fidelity,routed_fidelity,signed_clifford_equivalent,final_order_restored,validation_seconds,validated,routing_seconds
9,9,13,chain,historical_target_move,0,1,12,85,114,12,85,598,513,7.035294117647059,1092,326,282,44,,350,179,481,53,4.219298245614035,12,1.0,1.0,True,True,0.9665222088806331,True,0.0006944159977138042
9,9,13,chain,shortest_path_inverse_replay,0,1,12,85,114,12,85,1078,993,12.68235294117647,1806,564,282,282,,611,317,481,53,4.219298245614035,12,1.0,1.0,True,True,1.1613957919180393,True,0.0012437091208994389
9,9,13,chain,common_lookahead_token_restore,16,64,12,85,114,12,85,398,313,4.682352941176471,852,246,183,63,39,241,126,481,53,4.219298245614035,12,1.0,1.0,True,True,0.9097773749381304,True,0.003067124867811799
9,9,13,ring,shortest_path_inverse_replay,0,1,6,85,114,6,85,759,674,8.929411764705883,1296,394,197,197,,376,190,363,36,3.1842105263157894,6,1.0,1.0,True,True,1.0311564591247588,True,0.0009465410839766264
9,9,13,ring,common_lookahead_token_restore,16,64,6,85,114,6,85,372,287,4.376470588235295,636,174,167,7,6,138,79,363,36,3.1842105263157894,6,1.0,1.0,True,True,0.8590126659255475,True,0.001860625110566616
9,9,13,grid_2d,shortest_path_inverse_replay,0,1,6,85,114,6,85,590,505,6.9411764705882355,846,244,122,122,,365,172,265,27,2.324561403508772,6,1.0,1.0,True,True,0.9148094579577446,True,0.0006674998439848423
9,9,13,grid_2d,common_lookahead_token_restore,16,64,6,85,114,6,85,254,169,2.988235294117647,408,98,78,20,15,139,50,265,27,2.324561403508772,6,1.0,1.0,True,True,0.7952316668815911,True,0.001540499972179532
9,9,13,all_to_all,shortest_path_inverse_replay,0,1,1,85,114,1,85,85,0,1.0,114,0,0,0,,23,5,114,5,1.0,1,1.0,1.0,True,True,0.7142834588885307,True,0.00027720886282622814
9,9,13,all_to_all,common_lookahead_token_restore,16,64,1,85,114,1,85,85,0,1.0,114,0,0,0,0,23,5,114,5,1.0,1,1.0,1.0,True,True,0.7040024579036981,True,0.0005834999028593302
10,12,16,chain,historical_target_move,0,1,15,126,171,15,126,959,833,7.611111111111111,1833,554,475,79,,414,220,602,72,3.52046783625731,11,1.0,1.0,True,True,1.4065586659125984,True,0.0011501661501824856
10,12,16,chain,shortest_path_inverse_replay,0,1,15,126,171,15,126,1614,1488,12.80952380952381,3021,950,475,475,,717,376,602,72,3.52046783625731,11,1.0,1.0,True,True,1.7216869578696787,True,0.0019347090274095535
10,12,16,chain,common_lookahead_token_restore,16,64,15,126,171,15,126,628,502,4.984126984126984,1167,332,244,88,51,245,127,602,72,3.52046783625731,11,1.0,1.0,True,True,1.2237305419985205,True,0.0029725420754402876
10,12,16,ring,shortest_path_inverse_replay,0,1,8,126,171,8,126,1523,1397,12.087301587301587,2517,782,391,391,,637,345,566,59,3.309941520467836,8,1.0,1.0,True,True,1.5842712500598282,True,0.0017532091587781906
10,12,16,ring,common_lookahead_token_restore,16,64,8,126,171,8,126,500,374,3.9682539682539684,909,246,207,39,24,220,118,566,59,3.309941520467836,8,1.0,1.0,True,True,1.1513044589664787,True,0.0026589168701320887
10,12,16,grid_2d,shortest_path_inverse_replay,0,1,6,126,171,6,126,784,658,6.222222222222222,1227,352,176,176,,398,181,357,32,2.087719298245614,5,1.0,1.0,True,True,1.2347122500650585,True,0.0010401669424027205
10,12,16,grid_2d,common_lookahead_token_restore,16,64,6,126,171,6,126,358,232,2.8412698412698414,549,126,106,20,12,183,68,357,32,2.087719298245614,5,1.0,1.0,True,True,1.0562313748523593,True,0.002254707971587777
10,12,16,all_to_all,shortest_path_inverse_replay,0,1,1,126,171,1,126,126,0,1.0,171,0,0,0,,36,6,171,6,1.0,1,1.0,1.0,True,True,0.9641567920334637,True,0.00039883307181298733
10,12,16,all_to_all,common_lookahead_token_restore,16,64,1,126,171,1,126,126,0,1.0,171,0,0,0,0,36,6,171,6,1.0,1,1.0,1.0,True,True,0.9635642911307514,True,0.0009552501142024994
11,12,16,chain,historical_target_move,0,1,15,129,190,15,129,879,750,6.813953488372093,1642,484,454,30,,417,219,691,74,3.636842105263158,13,1.0,1.0,True,True,1.7197297499515116,True,0.0010559170041233301
11,12,16,chain,shortest_path_inverse_replay,0,1,15,129,190,15,129,1548,1419,12.0,2914,908,454,454,,773,408,691,74,3.636842105263158,13,1.0,1.0,True,True,2.0636404580436647,True,0.001923541072756052
11,12,16,chain,common_lookahead_token_restore,16,64,15,129,190,15,129,540,411,4.186046511627907,1042,284,224,60,38,260,132,691,74,3.636842105263158,13,1.0,1.0,True,True,1.5654442079830915,True,0.0028103329241275787
11,12,16,ring,shortest_path_inverse_replay,0,1,8,129,190,8,129,1313,1184,10.178294573643411,2338,716,358,358,,498,259,609,54,3.205263157894737,8,1.0,1.0,True,True,1.9469556659460068,True,0.0016251250635832548
11,12,16,ring,common_lookahead_token_restore,16,64,8,129,190,8,129,597,468,4.627906976744186,1168,326,266,60,34,202,121,609,54,3.205263157894737,8,1.0,1.0,True,True,1.5787380419205874,True,0.003455874975770712
11,12,16,grid_2d,shortest_path_inverse_replay,0,1,6,129,190,6,129,848,719,6.573643410852713,1342,384,192,192,,430,205,446,41,2.3473684210526318,6,1.0,1.0,True,True,1.6306555420160294,True,0.0011458748485893011
11,12,16,grid_2d,common_lookahead_token_restore,16,64,6,129,190,6,129,339,210,2.627906976744186,562,124,102,22,15,208,71,446,41,2.3473684210526318,6,1.0,1.0,True,True,1.433221000013873,True,0.0021992078982293606
11,12,16,all_to_all,shortest_path_inverse_replay,0,1,1,129,190,1,129,129,0,1.0,190,0,0,0,,32,6,190,6,1.0,1,1.0,1.0,True,True,1.3257746249437332,True,0.0004457079339772463
11,12,16,all_to_all,common_lookahead_token_restore,16,64,1,129,190,1,129,129,0,1.0,190,0,0,0,0,32,6,190,6,1.0,1,1.0,1.0,True,True,1.3231512079946697,True,0.0010003338102251291
12,14,18,chain,historical_target_move,0,1,17,154,229,17,154,1209,1055,7.85064935064935,2107,626,563,63,,489,249,841,79,3.6724890829694323,12,1.0,1.0,True,True,2.2817077077925205,True,0.0013124588876962662
12,14,18,chain,shortest_path_inverse_replay,0,1,17,154,229,17,154,2169,2015,14.084415584415584,3607,1126,563,563,,875,440,841,79,3.6724890829694323,12,1.0,1.0,True,True,2.6985520001035184,True,0.0022993329912424088
