A,t,seed,scramble_depth,architecture,lookahead,candidate_budget,accessible_sites,logical_depth,logical_cnot,causal_lightcone_depth_bound,routed_depth,depth_ratio,routed_cnot,swap_total,swap_movement,swap_restoration,restoration_swap_lower_bound,petz_fidelity,routed_fidelity,fidelity_difference,signed_clifford_equivalent,final_order_restored,routing_seconds,instance_elapsed_seconds,validated
9,9,20260802,6,chain,16,64,13,85,114,12,398,4.682352941176471,852,246,183,63,39,1.0,1.0,0.0,True,True,0.002144250087440014,2.6526281249243766,True
9,9,20260802,6,ring,16,64,13,85,114,6,372,4.376470588235295,636,174,167,7,6,1.0,1.0,0.0,True,True,0.001847374951466918,3.8485089580062777,True
9,9,20260802,6,grid_2d,16,64,13,85,114,6,254,2.988235294117647,408,98,78,20,15,1.0,1.0,0.0,True,True,0.0017581670545041561,4.945253832964227,True
9,9,20260802,6,all_to_all,16,64,13,85,114,1,85,1.0,114,0,0,0,0,1.0,1.0,0.0,True,True,0.0005891670007258654,5.815260624978691,True
9,9,20260803,6,chain,16,64,13,91,124,12,451,4.956043956043956,922,266,202,64,42,1.0,1.0,0.0,True,True,0.0023012920282781124,2.6520612922031432,True
9,9,20260803,6,ring,16,64,13,91,124,6,387,4.252747252747253,796,224,180,44,15,1.0,1.0,0.0,True,True,0.0020213329698890448,3.9300222501624376,True
9,9,20260803,6,grid_2d,16,64,13,91,124,6,244,2.681318681318681,442,106,78,28,15,1.0,1.0,0.0,True,True,0.00155458296649158,4.975295792100951,True
9,9,20260803,6,all_to_all,16,64,13,91,124,1,91,1.0,124,0,0,0,0,1.0,1.0,0.0,True,True,0.000588415889069438,5.836319125024602,True
9,9,20260804,6,chain,16,64,13,111,146,12,493,4.441441441441442,920,258,207,51,37,0.25,0.25,0.0,True,True,0.0024029999040067196,2.4661349579691887,True
9,9,20260804,6,ring,16,64,13,111,146,6,453,4.081081081081081,836,230,197,33,29,0.25,0.25,0.0,True,True,0.0022860828321427107,3.6714379161130637,True
9,9,20260804,6,grid_2d,16,64,13,111,146,6,346,3.1171171171171173,506,120,92,28,17,0.25,0.25,0.0,True,True,0.0017704579513520002,4.670425333082676,True
9,9,20260804,6,all_to_all,16,64,13,111,146,1,111,1.0,146,0,0,0,0,0.25,0.25,0.0,True,True,0.0006474580150097609,5.45385970803909,True
9,9,20260805,6,chain,16,64,13,84,120,12,426,5.071428571428571,846,242,174,68,42,1.0,1.0,0.0,True,True,0.002087000058963895,2.58305033412762,True
9,9,20260805,6,ring,16,64,13,84,120,6,402,4.785714285714286,792,224,196,28,19,1.0,1.0,0.0,True,True,0.002099375007674098,3.836733000120148,True
9,9,20260805,6,grid_2d,16,64,13,84,120,6,278,3.3095238095238093,462,114,86,28,16,1.0,1.0,0.0,True,True,0.0016085831448435783,4.896285624941811,True
9,9,20260805,6,all_to_all,16,64,13,84,120,1,84,1.0,120,0,0,0,0,1.0,1.0,0.0,True,True,0.0005884170532226562,5.749745292123407,True
9,9,20260806,6,chain,16,64,13,101,136,12,455,4.5049504950495045,832,232,186,46,35,0.5,0.5,0.0,True,True,0.0021997918374836445,2.564501958200708,True
9,9,20260806,6,ring,16,64,13,101,136,6,418,4.138613861386139,700,188,150,38,24,0.5,0.5,0.0,True,True,0.0018694170285016298,3.76954258303158,True
9,9,20260806,6,grid_2d,16,64,13,101,136,6,285,2.8217821782178216,436,100,78,22,12,0.5,0.5,0.0,True,True,0.0016093330923467875,4.804095791187137,True
9,9,20260806,6,all_to_all,16,64,13,101,136,1,101,1.0,136,0,0,0,0,0.5,0.5,0.0,True,True,0.0006346250884234905,5.654787625186145,True
10,12,20260802,6,chain,16,64,16,126,171,15,628,4.984126984126984,1167,332,244,88,51,1.0,1.0,0.0,True,True,0.0030507920309901237,3.7279605420771986,True
10,12,20260802,6,ring,16,64,16,126,171,8,500,3.9682539682539684,909,246,207,39,24,1.0,1.0,0.0,True,True,0.002695458009839058,5.347351792035624,True
10,12,20260802,6,grid_2d,16,64,16,126,171,6,358,2.8412698412698414,549,126,106,20,12,1.0,1.0,0.0,True,True,0.002253415994346142,6.749344500014558,True
10,12,20260802,6,all_to_all,16,64,16,126,171,1,126,1.0,171,0,0,0,0,1.0,1.0,0.0,True,True,0.0009592920541763306,7.926989916944876,True
10,12,20260803,6,chain,16,64,16,114,180,15,564,4.947368421052632,1008,276,212,64,39,1.0,1.0,0.0,True,True,0.0027474169619381428,3.6763640409335494,True
10,12,20260803,6,ring,16,64,16,114,180,8,558,4.894736842105263,960,260,216,44,25,1.0,1.0,0.0,True,True,0.0030746660195291042,5.353586707962677,True
10,12,20260803,6,grid_2d,16,64,16,114,180,6,374,3.280701754385965,540,120,98,22,15,1.0,1.0,0.0,True,True,0.0021742910612374544,6.766409249976277,True
10,12,20260803,6,all_to_all,16,64,16,114,180,1,114,1.0,180,0,0,0,0,1.0,1.0,0.0,True,True,0.001007291954010725,7.94271691609174,True
10,12,20260804,6,chain,16,64,16,115,185,15,635,5.521739130434782,1133,316,274,42,30,1.0,1.0,0.0,True,True,0.0032566660083830357,3.9968367908149958,True
10,12,20260804,6,ring,16,64,16,115,185,8,600,5.217391304347826,1151,322,246,76,37,1.0,1.0,0.0,True,True,0.0031681249383836985,5.876524457940832,True
10,12,20260804,6,grid_2d,16,64,16,115,185,6,395,3.4347826086956523,617,144,107,37,20,1.0,1.0,0.0,True,True,0.002312416210770607,7.431533749913797,True
10,12,20260804,6,all_to_all,16,64,16,115,185,1,115,1.0,185,0,0,0,0,1.0,1.0,0.0,True,True,0.0010047908872365952,8.723223707871512,True
10,12,20260805,6,chain,16,64,16,117,176,15,600,5.128205128205129,1082,302,261,41,30,1.0,1.0,0.0,True,True,0.00313887489028275,3.856232166988775,True
10,12,20260805,6,ring,16,64,16,117,176,8,588,5.0256410256410255,1148,324,260,64,36,1.0,1.0,0.0,True,True,0.0031860419549047947,5.719709625001997,True
10,12,20260805,6,grid_2d,16,64,16,117,176,6,383,3.2735042735042734,584,136,109,27,15,1.0,1.0,0.0,True,True,0.0023996250238269567,7.25495500001125,True
10,12,20260805,6,all_to_all,16,64,16,117,176,1,117,1.0,176,0,0,0,0,1.0,1.0,0.0,True,True,0.0009964159689843655,8.52879812498577,True
