A,architecture,count,depth_minimum,depth_q1,depth_median,depth_q3,depth_maximum,swap_minimum,swap_q1,swap_median,swap_q3,swap_maximum,ratio_minimum,ratio_q1,ratio_median,ratio_q3,ratio_maximum,petz_fidelity_min,petz_fidelity_max,validated_count
9,chain,5,398.0,426.0,451.0,455.0,493.0,232.0,242.0,246.0,258.0,266.0,4.441441441441442,4.5049504950495045,4.682352941176471,4.956043956043956,5.071428571428571,0.25,1.0,5
9,ring,5,372.0,387.0,402.0,418.0,453.0,174.0,188.0,224.0,224.0,230.0,4.081081081081081,4.138613861386139,4.252747252747253,4.376470588235295,4.785714285714286,0.25,1.0,5
9,grid_2d,5,244.0,254.0,278.0,285.0,346.0,98.0,100.0,106.0,114.0,120.0,2.681318681318681,2.8217821782178216,2.988235294117647,3.1171171171171173,3.3095238095238093,0.25,1.0,5
9,all_to_all,5,84.0,85.0,91.0,101.0,111.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,5
10,chain,5,555.0,564.0,600.0,628.0,635.0,276.0,302.0,312.0,316.0,332.0,4.269230769230769,4.947368421052632,4.984126984126984,5.128205128205129,5.521739130434782,1.0,1.0,5
10,ring,5,474.0,500.0,558.0,588.0,600.0,246.0,260.0,292.0,322.0,324.0,3.646153846153846,3.9682539682539684,4.894736842105263,5.0256410256410255,5.217391304347826,1.0,1.0,5
10,grid_2d,5,358.0,367.0,374.0,383.0,395.0,118.0,120.0,126.0,136.0,144.0,2.8230769230769233,2.8412698412698414,3.2735042735042734,3.280701754385965,3.4347826086956523,1.0,1.0,5
10,all_to_all,5,114.0,115.0,117.0,126.0,130.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5
11,chain,5,540.0,547.0,558.0,568.0,587.0,284.0,290.0,292.0,300.0,312.0,3.902097902097902,4.143939393939394,4.186046511627907,4.580645161290323,4.733870967741935,1.0,1.0,5
11,ring,5,572.0,580.0,594.0,596.0,597.0,296.0,320.0,326.0,332.0,334.0,4.1678321678321675,4.5,4.612903225806452,4.627906976744186,4.67741935483871,1.0,1.0,5
11,grid_2d,5,339.0,364.0,371.0,372.0,405.0,124.0,132.0,142.0,146.0,146.0,2.5454545454545454,2.627906976744186,2.9919354838709675,3.0,3.0681818181818183,1.0,1.0,5
11,all_to_all,5,124.0,124.0,129.0,132.0,143.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5
12,chain,5,647.0,755.0,795.0,869.0,932.0,356.0,444.0,464.0,488.0,540.0,4.265536723163842,4.462068965517242,5.162337662337662,5.39751552795031,6.0519480519480515,0.5,1.0,5
12,ring,5,656.0,755.0,776.0,785.0,915.0,396.0,424.0,452.0,482.0,508.0,4.435028248587571,4.524137931034483,4.819875776397516,4.902597402597403,5.941558441558442,0.5,1.0,5
12,grid_2d,5,411.0,462.0,464.0,470.0,487.0,160.0,174.0,184.0,184.0,188.0,2.751412429378531,2.8344827586206898,2.869565217391304,3.012987012987013,3.051948051948052,0.5,1.0,5
12,all_to_all,5,145.0,154.0,154.0,161.0,177.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,5
