A,seed,comparison,chain_depth,comparison_depth,absolute_reduction,relative_reduction,comparison_is_lower
9,20260802,chain_to_ring,398,372,26,0.06532663316582915,True
9,20260802,chain_to_grid_2d,398,254,144,0.36180904522613067,True
9,20260802,chain_to_all_to_all,398,85,313,0.7864321608040201,True
9,20260803,chain_to_ring,451,387,64,0.1419068736141907,True
9,20260803,chain_to_grid_2d,451,244,207,0.458980044345898,True
9,20260803,chain_to_all_to_all,451,91,360,0.7982261640798226,True
9,20260804,chain_to_ring,493,453,40,0.08113590263691683,True
9,20260804,chain_to_grid_2d,493,346,147,0.29817444219066935,True
9,20260804,chain_to_all_to_all,493,111,382,0.7748478701825557,True
9,20260805,chain_to_ring,426,402,24,0.056338028169014086,True
9,20260805,chain_to_grid_2d,426,278,148,0.3474178403755869,True
9,20260805,chain_to_all_to_all,426,84,342,0.8028169014084507,True
9,20260806,chain_to_ring,455,418,37,0.08131868131868132,True
9,20260806,chain_to_grid_2d,455,285,170,0.37362637362637363,True
9,20260806,chain_to_all_to_all,455,101,354,0.778021978021978,True
10,20260802,chain_to_ring,628,500,128,0.20382165605095542,True
10,20260802,chain_to_grid_2d,628,358,270,0.4299363057324841,True
10,20260802,chain_to_all_to_all,628,126,502,0.7993630573248408,True
10,20260803,chain_to_ring,564,558,6,0.010638297872340425,True
10,20260803,chain_to_grid_2d,564,374,190,0.33687943262411346,True
10,20260803,chain_to_all_to_all,564,114,450,0.7978723404255319,True
10,20260804,chain_to_ring,635,600,35,0.05511811023622047,True
10,20260804,chain_to_grid_2d,635,395,240,0.3779527559055118,True
10,20260804,chain_to_all_to_all,635,115,520,0.8188976377952756,True
10,20260805,chain_to_ring,600,588,12,0.02,True
10,20260805,chain_to_grid_2d,600,383,217,0.3616666666666667,True
10,20260805,chain_to_all_to_all,600,117,483,0.805,True
10,20260806,chain_to_ring,555,474,81,0.14594594594594595,True
10,20260806,chain_to_grid_2d,555,367,188,0.3387387387387387,True
10,20260806,chain_to_all_to_all,555,130,425,0.7657657657657657,True
11,20260802,chain_to_ring,540,597,-57,-0.10555555555555556,False
11,20260802,chain_to_grid_2d,540,339,201,0.37222222222222223,True
11,20260802,chain_to_all_to_all,540,129,411,0.7611111111111111,True
11,20260803,chain_to_ring,587,572,15,0.02555366269165247,True
11,20260803,chain_to_grid_2d,587,372,215,0.36626916524701875,True
11,20260803,chain_to_all_to_all,587,124,463,0.7887563884156729,True
11,20260804,chain_to_ring,568,580,-12,-0.02112676056338028,False
11,20260804,chain_to_grid_2d,568,371,197,0.34683098591549294,True
11,20260804,chain_to_all_to_all,568,124,444,0.7816901408450704,True
11,20260805,chain_to_ring,558,596,-38,-0.06810035842293907,False
11,20260805,chain_to_grid_2d,558,364,194,0.34767025089605735,True
11,20260805,chain_to_all_to_all,558,143,415,0.7437275985663082,True
11,20260806,chain_to_ring,547,594,-47,-0.08592321755027423,False
11,20260806,chain_to_grid_2d,547,405,142,0.2595978062157221,True
11,20260806,chain_to_all_to_all,547,132,415,0.7586837294332724,True
12,20260802,chain_to_ring,932,915,17,0.018240343347639486,True
12,20260802,chain_to_grid_2d,932,464,468,0.5021459227467812,True
12,20260802,chain_to_all_to_all,932,154,778,0.8347639484978541,True
12,20260803,chain_to_ring,869,776,93,0.10701956271576525,True
12,20260803,chain_to_grid_2d,869,462,407,0.46835443037974683,True
12,20260803,chain_to_all_to_all,869,161,708,0.8147295742232451,True
12,20260804,chain_to_ring,795,755,40,0.050314465408805034,True
12,20260804,chain_to_grid_2d,795,470,325,0.4088050314465409,True
12,20260804,chain_to_all_to_all,795,154,641,0.8062893081761007,True
12,20260805,chain_to_ring,755,785,-30,-0.039735099337748346,False
12,20260805,chain_to_grid_2d,755,487,268,0.35496688741721855,True
12,20260805,chain_to_all_to_all,755,177,578,0.7655629139072848,True
12,20260806,chain_to_ring,647,656,-9,-0.013910355486862442,False
12,20260806,chain_to_grid_2d,647,411,236,0.36476043276661513,True
12,20260806,chain_to_all_to_all,647,145,502,0.7758887171561051,True
